Player Name,Matches,Innings,Runs,Average,Strike Rate,4s,6s
Rahmat Shah,9,18,578,32,55,77,3
Ibrahim Zadran,7,14,541,39,47,64,4
Hashmatullah Shahidi,8,16,485,44,46,59,1
Asghar Afghan,6,10,440,44,57,37,11
Afsar Zazai,6,10,214,24,46,23,2
Nasir Jamal,5,10,160,23,51,16,1
Noor Ali Zadran,2,4,117,29,42,14,0
Javed Ahmadi,3,6,113,19,56,18,1
Ihsanullah Janat,3,6,110,22,43,13,2
Rashid Khan,5,7,106,15,80,11,4
Karim Janat,2,4,95,32,52,9,2
Amir Hamza,4,6,83,21,39,11,1
Mohammad Shahzad,2,4,69,17,52,12,1
Rahmanullah Gurbaz,1,2,51,26,49,4,2
Qais Ahmad,2,4,45,11,51,4,1
Naveed Zadran,2,4,41,14,36,6,0
Yamin Ahmadzai,6,11,33,3,31,3,2
Mohammad Nabi,3,6,33,6,49,4,1
Ikram Alikhil,2,3,29,10,30,3,0
Zia-ur-Rehman,2,4,23,6,35,4,0
