Player Name,Matches,Innings,Runs,Average,Strike Rate,4s,6s
Kumar Sangakkara,134,233,"12,400",57,54,"1,491",51
Mahela Jayawardene,149,252,"11,814",50,51,"1,387",61
Angelo Mathews,109,193,"7,608",46,49,782,86
Sanath Jayasuriya,110,188,"6,973",40,65,910,59
Dimuth Karunaratne,91,174,"6,899",41,52,730,12
Aravinda de Silva,93,159,"6,361",43,57,756,48
Marvan Atapattu,90,156,"5,502",39,44,685,4
Tillakaratne Dilshan,87,145,"5,492",41,66,677,24
Dinesh Chandimal,79,142,"5,479",43,50,566,42
Thilan Samaraweera,81,132,"5,462",49,47,633,7
Arjuna Ranatunga,93,155,"5,105",36,57,553,40
Hashan Tillakaratne,83,131,"4,545",43,41,540,1
Kusal Mendis,63,118,"4,112",36,57,498,42
Dhananjaya de Silva,54,96,"3,582",40,58,426,33
Chaminda Vaas,111,162,"3,089",24,44,376,16
Niroshan Dickwella,54,96,"2,757",31,66,304,11
Roshan Mahanama,52,89,"2,576",29,42,293,2
Asanka Gurusinha,41,70,"2,452",39,40,248,11
Prasanna Jayawardene,58,83,"2,124",30,49,223,15
Kaushal Silva,39,74,"2,099",28,40,238,2
